UID          PID    PPID  C STIME TTY          TIME CMD
aziz        3920       1  0 05:17 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/aziz/.config/google-chrome/Crash Reports --metrics-dir=/home/aziz/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Kali GNU/Linux Rolling --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=125.0.6422.141 --initial-client-fd=5 --shared-client-connection
aziz        3922       1  0 05:17 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/aziz/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Kali GNU/Linux Rolling --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=125.0.6422.141 --initial-client-fd=4 --shared-client-connection
aziz        3928    3897  0 05:17 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=3920 --enable-crash-reporter=c585cf77-6bb2-41ab-8dc4-7f64f345ef56, --change-stack-guard-on-fork=enable
aziz        3929    3897  0 05:17 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=3920 --enable-crash-reporter=c585cf77-6bb2-41ab-8dc4-7f64f345ef56, --change-stack-guard-on-fork=enable
aziz        3939    3929  0 05:17 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=3920 --enable-crash-reporter=c585cf77-6bb2-41ab-8dc4-7f64f345ef56, --change-stack-guard-on-fork=enable
aziz        3975    1253  0 05:17 ?        00:00:00 /usr/libexec/xdg-desktop-portal
aziz        3985    3928  0 05:17 ?        00:00:11 /opt/google/chrome/chrome --type=gpu-process --crashpad-handler-pid=3920 --enable-crash-reporter=c585cf77-6bb2-41ab-8dc4-7f64f345ef56, --change-stack-guard-on-fork=enable --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=3,i,16517430688201481239,4581079654743231279,262144 --variations-seed-version=20240609-180139.804000
aziz        3989    3897  0 05:17 ?        00:00:06 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=3920 --enable-crash-reporter=c585cf77-6bb2-41ab-8dc4-7f64f345ef56, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16517430688201481239,4581079654743231279,262144 --variations-seed-version=20240609-180139.804000
aziz        4012    1253  0 05:17 ?        00:00:00 /usr/libexec/xdg-document-portal
root        4018    4012  0 05:17 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
aziz        4021    1253  0 05:17 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gtk
aziz        4039    3939  0 05:17 ?        00:00:00 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --crashpad-handler-pid=3920 --enable-crash-reporter=c585cf77-6bb2-41ab-8dc4-7f64f345ef56, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16517430688201481239,4581079654743231279,262144 --variations-seed-version=20240609-180139.804000
root        4143       1  0 05:17 ?        00:00:00 /usr/sbin/pcscd --foreground --auto-exit
aziz        4188    3939  4 05:17 ?        00:02:49 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3920 --enable-crash-reporter=c585cf77-6bb2-41ab-8dc4-7f64f345ef56, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --time-ticks-at-unix-epoch=-1718064703491099 --launch-time-ticks=360523147 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16517430688201481239,4581079654743231279,262144 --variations-seed-version=20240609-180139.804000
aziz        4948    1405  0 05:18 ?        00:00:00 /usr/libexec/gvfsd-network --spawner :1.22 /org/gtk/gvfs/exec_spaw/1
aziz        4981    1405  0 05:18 ?        00:00:00 /usr/libexec/gvfsd-dnssd --spawner :1.22 /org/gtk/gvfs/exec_spaw/3
aziz        7669    1405  0 05:23 ?        00:00:00 /usr/libexec/gvfsd-computer --spawner :1.22 /org/gtk/gvfs/exec_spaw/8
aziz        7673    1405  0 05:23 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.22 /org/gtk/gvfs/exec_spaw/9
root        8029       2  0 05:24 ?        00:00:00 [kworker/3:2-events]
root        8738       2  0 05:25 ?        00:00:00 [kworker/7:2-i915-unordered]
root       11937       2  0 05:32 ?        00:00:00 [kworker/1:0-mm_percpu_wq]
root       12895       2  0 05:34 ?        00:00:01 [kworker/u17:2+i915_flip]
root       16156       2  0 05:40 ?        00:00:00 [kworker/u16:2-i915]
aziz       22563       1  0 05:45 ?        00:00:00 /usr/lib/libreoffice/program/oosplash --writer file:///home/aziz/Downloads/Medslab/my-project/Module-0/Module-0%20Breakdown.docx
aziz       22622   22563  0 05:45 ?        00:00:02 /usr/lib/libreoffice/program/soffice.bin --writer file:///home/aziz/Downloads/Medslab/my-project/Module-0/Module-0%20Breakdown.docx --splash-pipe=5
root       25537       2  0 05:51 ?        00:00:00 [kworker/7:1-rcu_gp]
root       25547       2  0 05:51 ?        00:00:01 [kworker/5:0-i915-unordered]
root       26020       2  0 05:52 ?        00:00:00 [kworker/0:1-events]
root       26359       2  0 05:52 ?        00:00:00 [kworker/3:1-events]
aziz       26503    1253  0 05:53 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
root       27541       2  0 05:55 ?        00:00:00 [kworker/2:1-events]
root       31340       2  0 06:02 ?        00:00:00 [kworker/5:1-rcu_gp]
root       32252       2  0 06:04 ?        00:00:00 [kworker/6:1-events]
aziz       32626    3939  0 06:04 ?        00:00:03 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3920 --enable-crash-reporter=c585cf77-6bb2-41ab-8dc4-7f64f345ef56, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=37 --time-ticks-at-unix-epoch=-1718064703491099 --launch-time-ticks=3176771524 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16517430688201481239,4581079654743231279,262144 --variations-seed-version=20240609-180139.804000
root       34843       2  0 06:09 ?        00:00:00 [kworker/4:2-events]
aziz       34863    1253  0 06:09 ?        00:00:00 /usr/lib/x86_64-linux-gnu/tumbler-1/tumblerd
root       37198       2  0 06:13 ?        00:00:00 [kworker/6:2-mm_percpu_wq]
root       37369       2  0 06:13 ?        00:00:00 [kworker/u17:1-rb_allocator]
root       37605       2  0 06:14 ?        00:00:00 [kworker/5:2]
root       37923       2  0 06:14 ?        00:00:00 [kworker/3:0-events]
aziz       38870    3939  0 06:16 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3920 --enable-crash-reporter=c585cf77-6bb2-41ab-8dc4-7f64f345ef56, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=49 --time-ticks-at-unix-epoch=-1718064703491099 --launch-time-ticks=3895098648 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16517430688201481239,4581079654743231279,262144 --variations-seed-version=20240609-180139.804000
aziz       38876    3939  0 06:16 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=3920 --enable-crash-reporter=c585cf77-6bb2-41ab-8dc4-7f64f345ef56, --change-stack-guard-on-fork=enable --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=50 --time-ticks-at-unix-epoch=-1718064703491099 --launch-time-ticks=3895131704 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,16517430688201481239,4581079654743231279,262144 --variations-seed-version=20240609-180139.804000
root       39782       2  0 06:18 ?        00:00:00 [kworker/1:1]
aziz       40330    1775  0 06:19 pts/0    00:00:00 ps -ef
